CLASS,ENGLISH_P,HINDI_P,MATHEMATICS_P,SCIENCE_P,SOCIAL_SCIENCE_P,PERCENTAGE
4,9.0,6.2,8.2,8.0,8.6,84.0
4,5.4,5.0,7.0,6.8,6.6,54.2
4,4.0,5.0,3.8,3.6,3.8,32.8
4,5.4,5.2,6.8,3.8,3.8,41.4
4,78 ,6.6,7.0,8.2,74 ,62.3
4,10.,9.4,9.2,9.6,10.,93.2
4,9.4,9.8,10.,8.0,9.6,92.4
4,9.0,78 ,8.6,6.4,9.0,78.6
4,9.8,9.4,8.6,9.6,10.,87.3
4,8.2,8.2,6.2,8.4,7A ,73.7
4,6.8,5.2,6.2,6.2,5.8,61.4
4,9.4,9.6,74 ,8.4,8.6,84.7
4,ML ,4.2,5.8,6.6,5.0,48.5
4,1.6,3.6,3.6,2.2,2.4,24.5
4,76 ,7A ,7.0,7.0,6.6,68.7
4,8.2,8.0,6.0,8.4,7.2,63.5
4,9.6,10.,10.,9.8,10.,99.3
4,4.0,5.2,5.8,3.6,4.4,37.0
4,76 ,4.2,6.4,7.0,5.8,53.7
4,8.4,7A ,8.6,6.6,9.6,76.3
4,76 ,7.2,6.6,7.8,6.6,63.0
4,8.4,6.4,6.4,5.4,6.0,61.3
4,6.2,5.4,6.4,3.8,3.4,59.6
4,7.2,8.2,8.4,7.0,76 ,67.1
4,9.0,8.6,7A ,9.4,9.0,83.0
4,4.6,48 ,4.0,4.4,4.0,45.0
4,9.2,9.4,8.2,9.2,8.2,89.6
4,3.8,3.6,3.8,3.8,4.2,38.2
4,9.4,9.4,8.6,8.6,10.,84.2
4,8.6,6.0,8.4,8.4,6.4,76.8
4,6.2,8.0,ML ,ML ,1.6,61.1
4,5.2,6.8,7.0,4.4,4.8,46.5
4,9.8,10.,10.,10.,9.6,97.7
4,8.6,6.8,8.2,74 ,9.0,77.9
4,8.0,8.4,8.0,74 ,76 ,65.3
4,6.8,6.0,3.8,4.6,5.0,60.0
4,9.0,7A ,8.0,8.2,8.6,86.0
4,7.2,7.8,5.8,74 ,8.0,68.6
4,7.2,6.8,5.6,4.2,5.6,56.5
4,5.8,5.4,5.0,4.2,4.4,47.0
4,9.6,9.8,10.,9.8,9.8,94.0
4,7.6,7.4,7.4,6.2,7.6,50.0
4,5.4,5.6,3.6,3.2,4.0,50.2
4,8.4,9.0,9.0,6.8,8.0,85.2
4,9.0,8.2,7.0,9.2,9.4,76.1
4,6.4,7.2,6.4,3.6,3.8,43.9
4,6.2,6.8,9.8,7.2,74 ,65.7
4,5.2,6.2,5.4,3.8,5.2,43.0
4,6.0,5.2,76 ,5.4,5.2,62.1
4,7.2,6.0,7.0,5.6,5.8,49.7
4,7.0,6.6,8.0,6.0,5.4,64.0
4,76 ,5.6,5.6,4.2,6.8,61.6
4,9.8,9.8,76 ,9.4,9.4,92.8
4,76 ,7.0,4.4,3.6,6.2,57.0
4,76 ,5.8,8.2,5.2,6.4,56.8
4,76 ,76 ,5.4,5.2,6.8,61.5
4,ML ,ML ,ML ,ML ,ML ,30.2
4,6.0,6.8,6.8,6.0,6.6,56.8
4,6.0,4.2,7.2,5.6,5.0,52.0
4,6.2,6.4,5.2,4.8,5.2,58.8
4,74 ,76 ,7.0,4.4,7.2,67.3
4,9.8,9.6,8.4,9.4,10.,84.7
4,7.0,2.6,1.8,3.6,3.4,39.7
4,9.4,9.4,8.0,9.6,9.4,86.6
4,74 ,6.6,6.6,5.4,6.6,61.9
4,6.8,6.0,5.4,5.8,4.2,53.8
4,8.6,8.2,8.0,9.2,7.2,70.2
4,8.4,8.8,8.6,9.2,9.6,86.5
4,7.0,6.2,6.2,7.0,6.6,65.0
4,3.2,3.8,3.4,2.8,1.8,33.2
4,NA ,NA ,NA ,NA ,NA ,52.9
4,NAD,NAD,NAD,NAD,NAD,48.0
4,NAD,NAD,NAD,NAD,NAD,0.0%
4,9.4,9.8,9.4,9.8,9.2,92.7
4,9.6,9.4,9.4,9.8,9.8,92.6
5,7.6,8.8,8.2,8.2,9.2,74.0
5,8.6,8.6,6.4,8.0,9.4,80.6
5,7.2,7.8,6.8,74 ,9.6,64.7
5,9.2,8.8,76 ,7.0,8.4,79.4
5,8.4,6.8,6.8,6.2,74 ,70.9
5,10.,9.6,9.8,9.6,9.8,95.4
5,9.2,7.8,7.2,8.8,8.8,80.6
5,5.8,6.4,4.8,5.8,6.8,43.3
5,9.0,9.2,8.4,8.6,9.0,86.2
5,ABS,ABS,8.2,7.8,8.4,67.7
5,7.0,6.6,6.4,6.4,7.2,62.3
5,9.8,9.4,7.2,9.2,9.8,95.3
5,8.8,7A ,9.2,9.2,9.8,80.7
5,9.6,8.6,9.8,9.8,9.8,84.5
